# timestamp tx ty tz qx qy qz qw
1760673083.792774 0.671369 0.057339 0.000000 0.000000 0.000000 -0.000000 1.000000
1760673083.825441 0.677249 0.057970 0.000000 0.000000 0.000000 -0.000000 1.000000
1760673083.858438 0.683090 0.058594 0.000000 0.000000 0.000000 -0.000000 1.000000
1760673083.891439 0.688895 0.059213 0.000000 0.000000 0.000000 -0.000000 1.000000
1760673083.924425 0.698429 0.061811 0.000000 0.000000 0.000000 -0.000044 1.000000
1760673083.957425 0.703801 0.062339 0.000000 0.000000 0.000000 -0.000045 1.000000
1760673083.991796 0.709176 0.062866 0.000000 0.000000 0.000000 -0.000046 1.000000
1760673084.023434 0.714532 0.063391 0.000000 0.000000 0.000000 -0.000047 1.000000
1760673084.057607 0.719891 0.063915 0.000000 0.000000 0.000000 -0.000049 1.000000
1760673084.089432 0.725237 0.064436 0.000000 0.000000 0.000000 -0.000050 1.000000
1760673084.122436 0.732450 0.066602 0.000000 0.000000 0.000000 -0.000090 1.000000
1760673084.155465 0.737495 0.067057 0.000000 0.000000 0.000000 -0.000092 1.000000
1760673084.188976 0.742556 0.067514 0.000000 0.000000 0.000000 -0.000095 1.000000
1760673084.221431 0.747624 0.067971 0.000000 0.000000 0.000000 -0.000097 1.000000
1760673084.254431 0.752705 0.068430 0.000000 0.000000 0.000000 -0.000099 1.000000
1760673084.287768 0.757801 0.068890 0.000000 0.000000 0.000000 -0.000101 1.000000
1760673084.320419 0.763236 0.070740 0.000000 0.000000 0.000000 -0.000134 1.000000
1760673084.353427 0.768115 0.071148 0.000000 0.000000 0.000000 -0.000137 1.000000
1760673084.386808 0.773020 0.071560 0.000000 0.000000 0.000000 -0.000140 1.000000
1760673084.419429 0.777944 0.071974 0.000000 0.000000 0.000000 -0.000143 1.000000
1760673084.452586 0.782893 0.072390 0.000000 0.000000 0.000000 -0.000146 1.000000
1760673084.486752 0.787872 0.072811 0.000000 0.000000 0.000000 -0.000149 1.000000
1760673084.518452 0.791848 0.074416 0.000000 0.000000 0.000000 -0.000172 1.000000
1760673084.551429 0.796661 0.074794 0.000000 0.000000 0.000000 -0.000175 1.000000
1760673084.586812 0.801522 0.075178 0.000000 0.000000 0.000000 -0.000179 1.000000
1760673084.620795 0.806419 0.075566 0.000000 0.000000 0.000000 -0.000183 1.000000
1760673084.650433 0.811317 0.075955 0.000000 0.000000 0.000000 -0.000186 1.000000
1760673084.683422 0.816666 0.076377 0.000000 0.000000 0.000000 -0.000189 1.000000
1760673084.716422 0.820261 0.077840 0.000000 0.000000 0.000000 -0.000203 1.000000
1760673084.749423 0.826467 0.078292 0.000000 0.000000 0.000000 -0.000207 1.000000
1760673084.782472 0.833193 0.078781 0.000000 0.000000 0.000000 -0.000211 1.000000
1760673084.815423 0.840431 0.079307 0.000000 0.000000 0.000000 -0.000214 1.000000
1760673084.848421 0.848174 0.079868 0.000000 0.000000 0.000000 -0.000218 1.000000
1760673084.881437 0.856417 0.080464 0.000000 0.000000 0.000000 -0.000222 1.000000
1760673084.914424 0.861026 0.081903 0.000000 0.000000 0.000000 -0.000228 1.000000
1760673084.947411 0.869941 0.082522 0.000000 0.000000 0.000000 -0.000231 1.000000
1760673084.981346 0.879354 0.083176 0.000000 0.000000 0.000000 -0.000235 1.000000
1760673085.013419 0.889210 0.083863 0.000000 0.000000 0.000000 -0.000239 1.000000
1760673085.047540 0.899557 0.084584 0.000000 0.000000 0.000000 -0.000243 1.000000
1760673085.079420 0.910328 0.085336 0.000000 0.000000 0.000000 -0.000246 1.000000
1760673085.112484 0.899365 0.080156 0.000000 0.000000 0.000000 -0.000243 1.000000
